Hyperparameter,Value,ResNet-18 Avg (%),ResNet-50 Avg (%)
Batch Size,16,98.12,95.215
Batch Size,32,98.02000000000001,94.42625000000001
Optimizer,SGD,97.93375,94.69625
Optimizer,Adam,98.20625,94.945
Learning Rate,0.001,98.45500000000001,96.59875
Learning Rate,0.0001,97.685,93.04249999999999
